tf,N,λ,F_eSTA,F_STA,F_ad,Wn_eSTA,Wn_STA,Tn_eSTA,Tn_STA,Mn_eSTA,Mn_STA,Sq_eSTA,Sq_STA,Λf,Λ0
0.5393939393939394,10,1,0.9863958237477639,0.9729083389833922,0.8455855239566414,53.39671294699924,46.426154269584025,0.0015889650706313319,0.003176769403090418,0.015433281393169978,0.001247298977864567,0.08902912954129319,0.07779609523892635,50.00000000000001,0.0
0.548989898989899,10,1,0.9868097713830779,0.9739563854256345,0.8474831317874723,53.381174359944715,47.33166635127381,0.0014772216783143222,0.002826774370134899,0.016139123502090534,0.003616626133529377,0.08663585117235179,0.07574075879119023,50.00000000000001,0.0
0.5585858585858586,10,1,0.9871575212122106,0.9749838185157644,0.8492284999911891,53.34148117631402,48.14141014552051,0.0013975332002758023,0.0027826768667083,0.016800071407689077,0.005822065895111567,0.08438851472772393,0.07385400340281385,50.00000000000001,0.0
0.5681818181818182,10,1,0.9874445681172942,0.9759902577314093,0.8508351316864264,53.310870042799856,48.861552883063105,0.0013305001544949846,0.002470562088241479,0.01741854043983839,0.007858288694205368,0.08228772380423105,0.07214441247466512,50.00000000000001,0.0
0.5777777777777777,10,1,0.9876771109379349,0.976975340655796,0.8523168348405746,53.320364278510596,49.50666157945739,0.0012636491852902054,0.0023918078628781814,0.017995332070139296,0.00972082477917068,0.08033372529266836,0.07061902590975776,50.00000000000001,0.0
0.5873737373737373,10,1,0.9878620462646704,0.9779387197667235,0.8536875144710886,53.39622446645512,50.09922411044493,0.0012029882645592238,0.0021259094484804564,0.018529454425483392,0.011406079685230991,0.07852701416290167,0.06928323401784046,50.00000000000001,0.0
0.5969696969696969,10,1,0.9880069366432938,0.978880070336553,0.8549609598275905,53.55778225107676,50.66695807090329,0.0010434569874817612,0.0018909329657645912,0.019018008435619817,0.012911420018328726,0.07686882169610448,0.06814073601526004,50.00000000000001,0.0
0.6065656565656565,10,1,0.9881199528152955,0.9797990942600536,0.8561506630143305,53.81610713485649,51.238652003543926,0.0009879724816030944,0.0018088514019964919,0.01945618779867054,0.014235224368155493,0.07536147757473366,0.06719356194715215,50.00000000000001,0.0
0.6161616161616161,10,1,0.9882097773863884,0.9806955289532356,0.8572696640197172,54.173697454037324,51.83967363026119,0.0009501138764633765,0.0016077184028517877,0.019837384619799833,0.015376949048252894,0.07400863016521632,0.06644214828890754,50.00000000000001,0.0
0.6257575757575757,10,1,0.9882854723325376,0.9815691270252327,0.8583304219130649,54.62516362944419,52.488269171541006,0.0009085449059753614,0.001521070491783405,0.020153412422675085,0.01633697578075161,0.07281532960485491,0.06588545105477037,50.00000000000001,0.0
0.6353535353535353,10,1,0.9883563085314194,0.9824196902750431,0.8593447108001637,55.15868770862595,53.19339596566852,0.0008604200685269348,0.0013661655140495554,0.020394890680525125,0.01711685060463424,0.07178796215210423,0.06552109490052216,50.00000000000001,0.0
0.6449494949494949,10,1,0.9884315616561622,0.9832470496611362,0.8603235394710788,55.75800987733235,53.95436884563989,0.0008099759751800661,0.0012179501851505847,0.020551741381843163,0.017719111707230627,0.070934042749434,0.06534552549405317,50.00000000000001,0.0
0.6545454545454545,10,1,0.9885202643977606,0.9840510707844103,0.8612770919542446,56.40463414568393,54.76214753789837,0.0007282413561071621,0.0010883538514860902,0.020613759610412133,0.018147311183855357,0.07026186232087385,0.0653541580349296,50.00000000000001,0.0
0.6641414141414141,10,1,0.9886309608804793,0.9848316439264141,0.8622146880631915,57.08005329979993,55.60186360818956,0.0006849154576826777,0.0009917339172105244,0.020571454094826195,0.018405924711092047,0.06978000468301397,0.06554150806044248,50.00000000000001,0.0
0.6737373737373737,10,1,0.9887714290093428,0.9855887247745112,0.8631447617838328,57.76780002549181,56.45602906512751,0.000640527075823627,0.000884066708728426,0.020416837170366024,0.018500574542403718,0.06949673234190396,0.06590129488852346,50.00000000000001,0.0
0.6833333333333333,10,1,0.9889484138322922,0.9863222753086345,0.864074855695888,58.45516574802198,57.30783904244507,0.0005963052274182701,0.0007936468149338793,0.02014435409513807,0.01843761989018945,0.06941926589151691,0.06642650137222686,50.00000000000001,0.0
0.692929292929293,10,1,0.9891673748236084,0.98703230186947,0.8650116293677041,59.13448100244481,58.14405699471398,0.0005519878998327954,0.0007117523237454293,0.019751819344145705,0.01822436918607668,0.06955297881891863,0.06710940623489596,50.00000000000001,0.0
0.7025252525252526,10,1,0.9894322623296508,0.9877188456555004,0.865960879315665,59.80383551396598,58.957009659378585,0.0005119848989210141,0.0006382816497563226,0.01924133046123618,0.017868976625262555,0.06990054139079505,0.06794158245849005,50.00000000000001,0.0
0.7121212121212122,10,1,0.9897453327436156,0.9883819826901311,0.8669275677141812,60.467190256767324,59.74543167557474,0.0004753164528636944,0.0005727140983680101,0.018620073471738607,0.01738039942914098,0.07046105621844839,0.06891387252736124,50.00000000000001,0.0
0.7217171717171718,10,1,0.9901070213964597,0.9890218231464581,0.8679158566713876,61.13387655690476,60.51410743658898,0.0004322692204183909,0.00048301140864737135,0.017901007615343113,0.016768344569768567,0.07122923491806386,0.07001635384751903,50.00000000000001,0.0
0.7313131313131314,10,1,0.9905158748462455,0.9896384952174326,0.8689291339833617,61.81757860478068,61.27253535332683,0.00035660641106716184,0.00041201875244922803,0.017103313429891798,0.016043159630633002,0.07219467822699402,0.0712383047328582,50.00000000000001,0.0
0.740909090909091,10,1,0.9909685375377111,0.9902322075473586,0.8699700918134808,62.53497408345462,62.03304526754837,0.0003028599593335457,0.0003726563502226554,0.0162525298402785,0.015215843006014414,0.07334131538477277,0.0725681911967037,50.00000000000001,0.0
0.7505050505050505,10,1,0.9914598894026909,0.9908031540993706,0.8710406932030171,63.30425885617172,62.80885055803611,0.0002660754949701527,0.00033566038837307133,0.015380589421901784,0.014298383495125326,0.07464707992937712,0.07399366645208655,50.00000000000001,0.0
0.76010101010101,10,1,0.9919831054478303,0.9913515766638963,0.8721422420052586,64.14376872063986,63.612491282377505,0.0002348959915465798,0.00026354918247761816,0.014524952484735506,0.013302304713897857,0.0760838647790585,0.07550161642008958,50.00000000000001,0.0
0.7696969696969697,10,1,0.9925299331994174,0.9918777459852345,0.8732753922970886,65.07083828406253,64.45486929442691,0.00021078083722869678,0.00022663093623975783,0.013727857797817168,0.012240140215469349,0.07761783709217596,0.07707823507670766,50.00000000000001,0.0
0.7792929292929293,10,1,0.9930909672907056,0.9923819450375098,0.8744401634859411,66.10091221414001,65.34489953063031,0.00013026801859439274,0.00018230028597798764,0.013034925333019686,0.011124463972452883,0.07921013511375168,0.07870914000511042,50.00000000000001,0.0
0.7888888888888889,10,1,0.9936559725754422,0.9928645371876726,0.8756359521092238,67.24681879675863,66.28960613127464,9.461764705065434e-5,0.0001631444979111052,0.01249332905253059,0.00996811072732034,0.08081797735293335,0.08037952953995185,50.00000000000001,0.0
0.7984848484848485,10,1,0.9942143343066536,0.9933258597784121,0.8768615427292846,68.518081051135,67.29441401175148,7.349176822657455e-5,0.00014256928970723948,0.012149789627572514,0.008783728989820157,0.0823961790004674,0.0820743560888846,50.00000000000001,0.0
0.8080808080808081,10,1,0.994755367565325,0.9937662924451022,0.8781151217690852,69.92017666815157,68.36346323932827,5.265621272343424e-5,0.00012528922344046123,0.012047934644243228,0.007583898539316733,0.08389901657689008,0.08377853846751185,50.00000000000001,0.0
0.8176767676767677,10,1,0.9952688041478074,0.9941862343618353,0.8793942964277877,71.45377287254128,69.499804525205,8.96727136989739e-6,6.0729754558508375e-5,0.012225913791664465,0.006380894538501219,0.08528238666843908,0.08547718155588728,50.00000000000001,0.0
0.8272727272727273,10,1,0.9957451873816232,0.9945860893943727,0.8806961216567515,73.11403894146792,70.70546773734303,2.92466051377005e-5,4.044098389499595e-5,0.012713788068866458,0.005186620808949136,0.08650611756069536,0.08715580214728835,50.00000000000001,0.0
0.8368686868686869,10,1,0.996176241177075,0.9949663354067886,0.8820171380129095,74.89015330242084,71.98141584067287,4.860556401808935e-5,3.0059288391726113e-5,0.013531109716112157,0.004012496852445506,0.08753628582114485,0.08880056202921582,50.00000000000001,0.0
